,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2811,28,33,0,1,12,0,0,11,0,0,0,2,10,3,12,127,9,3,6,0
B--DE--0014,153,2354,69,0,3,29,10,0,19,27,0,0,71,10,6,72,77,133,22,8,5
B--DE--0021,308,23,2151,0,0,24,0,0,55,59,0,0,1,7,5,101,254,21,5,49,5
B--DE--0028,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
B--FE--0007,1,9,9,0,2047,8,20,0,24,2,0,14,27,40,0,18,3,33,43,4,0
B--FE--0014,13,9,1,0,0,2013,32,0,24,15,0,34,25,16,0,47,8,3,42,12,7
B--FE--0021,0,4,0,0,318,35,1735,0,0,0,0,10,23,54,0,0,6,0,94,20,3
IR--DE--0007,0,0,0,0,0,0,0,3040,0,2,0,1,0,0,0,1,0,23,0,0,1
IR--DE--0014,23,63,57,0,7,21,2,0,2423,8,0,1,0,2,20,158,30,115,10,0,0
IR--DE--0021,0,1,3,0,0,3,0,0,0,2953,0,2,29,0,0,38,0,37,0,2,0
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,3,79,6,1,0,12,0,2130,4,0,0,17,0,9,33,3,4
IR--FE--0014,2,7,1,0,9,29,7,0,0,40,0,14,2099,41,0,1,2,14,16,13,7
IR--FE--0021,34,0,0,0,3,18,18,0,2,0,0,6,58,2083,0,25,0,8,8,38,1
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13928,0,0,0,0,0,0
OR--DE--0007,34,5,14,0,0,15,0,1,50,22,0,2,0,25,0,8833,14,53,0,6,0
OR--DE--0014,271,4,28,0,2,7,15,0,21,1,0,0,3,0,2,38,2648,6,21,0,1
OR--DE--0021,50,63,24,0,48,6,1,21,121,324,0,4,20,10,2,98,93,8155,31,8,0
OR--FE--0007,8,60,6,0,79,141,223,6,3,3,0,86,79,71,0,8,18,50,5950,82,31
OR--FE--0014,7,1,23,0,12,37,3,0,0,4,0,13,53,44,0,19,0,13,54,2728,17
OR--FE--0021,5,11,46,0,3,63,31,3,0,10,0,51,109,3,0,0,0,16,519,34,1398
